"Code","Collect","Preface","Liturgical Date","Calendar Date","Hebrew Reading","Psalm Reading","Epistle Reading","Gospel Reading"
"visitation","Father in heaven, by your grace the virgin mother of your incarnate Son was blessed in bearing him, but still more blessed in keeping your word: Grant us who honor the exaltation of her lowliness to follow the example of her devotion to your will; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany","Visitation of Mary to Elizabeth ","May 31, 2021","1 Samuel 2:1-10 and Psalm 113",,"Romans 12:9-16b","Luke 1:39-57"
"proper1","Remember, O Lord, what you have wrought in us and not what we deserve; and, as you have called us to your service, make us worthy of our calling; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","none",,,,,,
"proper2","Almighty and merciful God, in your goodness keep us, we pray, from all things that may hurt us, that we, being ready both in mind and body, may accomplish with free hearts those things which belong to your purpose; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","none",,,,,,
"proper3","Grant, O Lord, that the course of this world may be peaceably governed by your providence; and that your Church may joyfully serve you in confidence and serenity; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","none",,,,,,
"proper4","O God, your never-failing providence sets in order all things both in heaven and earth: Put away from us, we entreat you, all hurtful things, and give us those things which are profitable for us; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday",,,,,,
"proper5","O God, from whom all good proceeds: Grant that by your inspiration we may think those things that are right, and by your merciful guiding may do them; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 5 (10)","June 6, 2021","1 Samuel 8:4-11, (12-15), 16-20, (11:14-15) and Psalm 138","Genesis 3:8-15 and Psalm 130","2 Corinthians 4:13-5:1","Mark 3:20-35"
"proper6","Keep, O Lord, your household the Church in your steadfast faith and love, that through your grace we may proclaim your truth with boldness, and minister your justice with compassion; for the sake of our Savior Jesus Christ, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 6 (11)","June 13, 2021","1 Samuel 15:34 - 16:13 and Psalm 20","Ezekiel 17:22-24 and Psalm 92:1-4, 12-15","2 Corinthians 5:6-10, (11-13), 14-17","Mark 4:26-34"
"proper7","O Lord, make us have perpetual love and reverence for your holy Name, for you never fail to help and govern those whom you have set upon the sure foundation of your loving-kindness; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 7 (12)","June 20, 2021","1 Samuel 17:(1a, 4-11, 19-23), 32-49 and Psalm 9:9-20 or 1 Samuel 17:57-18:5, 18:10-16 and Psalm 133","Job 38:1-11 and Psalm 107:1-3, 23-32","2 Corinthians 6:1-13","Mark 4:35-41"
"proper8","Almighty God, you have built your Church upon the foundation of the apostles and prophets, Jesus Christ himself being the chief cornerstone: Grant us so to be joined together in unity of spirit by their teaching, that we may be made a holy temple acceptable to you; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 8 (13)","June 27, 2021","2 Samuel 1:1, 17-27 and Psalm 130","Wisdom of Solomon 1:13-15, 2:23-24 or Lamentations 3:22-33 and Psalm 30","2 Corinthians 8:7-15","Mark 5:21-43"
"proper9","O God, you have taught us to keep all your commandments by loving you and our neighbor: Grant us the grace of your Holy Spirit, that we may be devoted to you with our whole heart, and united to one another with pure affection; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 9 (14)","July 4, 2021","2 Samuel 5:1-5, 9-10 and Psalm 48","Ezekiel 2:1-5 and Psalm 123","2 Corinthians 12:2-10","Mark 6:1-13"
"proper10","O Lord, mercifully receive the prayers of your people who call upon you, and grant that they may know and understand what things they ought to do, and also may have grace and power faithfully to accomplish them; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 10 (15)","July 11, 2021","2 Samuel 6:1-5, 12b-19 and Psalm 24","Amos 7:7-15 and Psalm 85:8-13","Ephesians 1:3-14","Mark 6:14-29"
"proper11","Almighty God, the fountain of all wisdom, you know our necessities before we ask and our ignorance in asking: Have compassion on our weakness, and mercifully give us those things which for our unworthiness we dare not, and for our blindness we cannot ask; through the worthiness of your Son Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 11 (16)","July 18, 2021","2 Samuel 7:1-14a and Psalm 89:20-37","Jeremiah 23:1-6 and Psalm 23","Ephesians 2:11-22","Mark 6:30-34, 53-56"
"proper12","O God, the protector of all who trust in you, without whom nothing is strong, nothing is holy: Increase and multiply upon us your mercy; that, with you as our ruler and guide, we may so pass through things temporal, that we lose not the things eternal; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 12 (17)","July 25, 2021","2 Samuel 11:1-15 and Psalm 14","2 Kings 4:42-44 and Psalm 145:10-18","Ephesians 3:14-21","John 6:1-21"
"proper13","Let your continual mercy, O Lord, cleanse and defend your Church; and, because it cannot continue in safety without your help, protect and govern it always by your goodness; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 13 (18)","August 1, 2021","2 Samuel 11:26 - 12:13a and Psalm 51:1-12","Exodus 16:2-4, 9-15 and Psalm 78:23-29","Ephesians 4:1-16","John 6:24-35"
"proper14","Grant to us, Lord, we pray, the spirit to think and do always those things that are right, that we, who cannot exist without you, may by you be enabled to live according to your will; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 14 (19)","August 8, 2021","2 Samuel 18:5-9, 15, 31-33 and Psalm 130","1 Kings 19:4-8 and Psalm 34:1-8","Ephesians 4:25-5:2","John 6:35, 41-51"
"proper15","Almighty God, you have given your only Son to be for us a sacrifice for sin, and also an example of godly life: Give us grace to receive thankfully the fruits of his redeeming work, and to follow daily in the blessed steps of his most holy life; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 15 (20)","August 15, 2021","1 Kings 2:10-12; 3:3-14 and Psalm 111","Proverbs 9:1-6 and Psalm 34:9-14","Ephesians 5:15-20","John 6:51-58"
"proper16","Grant, O merciful God, that your Church, being gathered together in unity by your Holy Spirit, may show forth your power among all peoples, to the glory of your Name; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 16 (21)","August 22, 2021","1 Kings 8:(1,6,10-11), 22-30, 41-43 and Psalm 84","Joshua 24:1-2a, 14-18 and Psalm 34:15-22","Ephesians 6:10-20","John 6:56-69"
"proper17","Lord of all power and might, the author and giver of all good things: Graft in our hearts the love of your Name; increase in us true religion; nourish us with all goodness; and bring forth in us the fruit of good works; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God for ever and ever.","lordsday","Proper 17 (22)","August 29, 2021","Song of Solomon 2:8-13 and Psalm 45:1-2, 6-9","Deuteronomy 4:1-2, 6-9 and Psalm 15","James 1:17-27","Mark 7:1-8, 14-15, 21-23"
"proper18","Grant us, O Lord, to trust in you with all our hearts; for, as you always resist the proud who confide in their own strength, so you never forsake those who make their boast of your mercy; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 18 (23)","September 5, 2021","Proverbs 22:1-2, 8-9, 22-23 and Psalm 125","Isaiah 35:4-7a and Psalm 146","James 2:1-10, (11-13), 14-17","Mark 7:24-37"
"proper19","O God, because without you we are not able to please you, mercifully grant that your Holy Spirit may in all things direct and rule our hearts; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 19 (24)","September 12, 2021","Proverbs 1:20-33 and Psalm 19 or Wisdom of Solomon 7:26 - 8:1","Isaiah 50:4-9a and Psalm 116:1-9","James 3:1-12","Mark 8:27-38"
"holycross","Almighty God, whose Son our Savior Jesus Christ was lifted high upon the cross that he might draw the whole world to himself: Mercifully grant that we, who glory in the mystery of our redemption, may have grace to take up our cross and follow him; who lives and reigns with you and the Holy Spirit, one God, in glory everlasting.","holyweek","Holy Cross Day: September 14","September 14, 2021","Numbers 21:4b-9 and Psalm 98:1-5 or Psalm 78:1-2, 34-38",,"1 Corinthians 1:18-24","John 3:13-17"
"proper20","Grant us, Lord, not to be anxious about earthly things, but to love things heavenly; and even now, while we are placed among things that are passing away, to hold fast to those that shall endure; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 20 (25)","September 19, 2021","Proverbs 31:10-31 and Psalm 1","Wisdom of Solomon 1:16-2:1, 12-22 or Jeremiah 11:18-20 and Psalm 54","James 3:13 - 4:3, 7-8a","Mark 9:30-37"
"proper21","O God, you declare your almighty power chiefly in showing mercy and pity: Grant us the fullness of your grace, that we, running to obtain your promises, may become partakers of your heavenly treasure; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 21 (26)","September 26, 2021","Esther 7:1-6, 9-10; 9:20-22 and Psalm 124","Numbers 11:4-6, 10-16, 24-29 and Psalm 19:7-14","James 5:13-20","Mark 9:38-50"
"proper22","Almighty and everlasting God, you are always more ready to hear than we to pray, and to give more than we either desire or deserve: Pour upon us the abundance of your mercy, forgiving us those things of which our conscience is afraid, and giving us those good things for which we are not worthy to ask, except through the merits and mediation of Jesus Christ our Savior; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 22 (27)","October 3, 2021","Job 1:1, 2:1-10 and Psalm 26","Genesis 2:18-24 and Psalm 8","Hebrews 1:1-4, 2:5-12","Mark 10:2-16"
"proper23","Lord, we pray that your grace may always precede and follow us, that we may continually be given to good works; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 23 (28)","October 10, 2021","Job 23:1-9, 16-17 and Psalm 22:1-15","Amos 5:6-7, 10-15 and Psalm 90:12-17","Hebrews 4:12-16","Mark 10:17-31"
"thanksgivingcanada","Almighty and gracious Father, we give you thanks for the fruits of the earth in their season and for the labors of those who harvest them. Make us, we pray, faithful stewards of your great bounty, for the provision of our necessities and the relief of all who are in need, to the glory of your Name; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","trinity","Canadian Thanksgiving Day","October 11, 2021","Joel 2:21-27 and Psalm 126",,"1 Timothy 2:1-7","Matthew 6:25-33"
"proper24","Almighty and everlasting God, in Christ you have revealed your glory among the nations: Preserve the works of your mercy, that your Church throughout the world may persevere with steadfast faith in the confession of your Name; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 24 (29)","October 17, 2021","Job 38:1-7, (34-41) and Psalm 104:1-9, 24, 35c","Isaiah 53:4-12 and Psalm 91:9-16","Hebrews 5:1-10","Mark 10:35-45"
"proper25","Almighty and everlasting God, increase in us the gifts of faith, hope, and charity; and, that we may obtain what you promise, make us love what you command; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 25 (30)","October 24, 2021","Job 42:1-6, 10-17 and Psalm 34:1-8, (19-22)","Jeremiah 31:7-9 and Psalm 126","Hebrews 7:23-28","Mark 10:46-52"
"proper26","Almighty and merciful God, it is only by your gift that your faithful people offer you true and laudable service: Grant that we may run without stumbling to obtain your heavenly promises; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Proper 26 (31)","October 31, 2021","Ruth 1:1-18 and Psalm 146","Deuteronomy 6:1-9 and Psalm 119:1-8","Hebrews 9:11-14","Mark 12:28-34"
"allsaints","Almighty God, you have knit together your elect in one communion and fellowship in the mystical body of your Son Christ our Lord: Give us grace so to follow your blessed saints in all virtuous and godly living, that we may come to those ineffable joys that you have prepared for those who truly love you; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, in glory everlasting.","allsaints","All Saints’ Day November 1","November 1, 2021","Wisdom of Solomon 3:1-9 or Isaiah 25:6-9 and Psalm 24",,"Revelation 21:1-6a","John 11:32-44"
"proper27","O God, whose blessed Son came into the world that he might destroy the works of the devil and make us children of God and heirs of eternal life: Grant that, having this hope, we may purify ourselves as he is pure; that, when he comes again with power and great glory, we may be made like him in his eternal and glorious kingdom; where he lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 27 (32)","November 7, 2021","Ruth 3:1-5; 4:13-17 and Psalm 127","1 Kings 17:8-16 and Psalm 146","Hebrews 9:24-28","Mark 12:38-44"
"proper28","Blessed Lord, who caused all holy Scriptures to be written for our learning: Grant us so to hear them, read, mark, learn, and inwardly digest them, that we may embrace and ever hold fast the blessed hope of everlasting life, which you have given us in our Savior Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lordsday","Proper 28 (33)","November 14, 2021","1 Samuel 1:4-20 and 1 Samuel 2:1-10","Daniel 12:1-3 and Psalm 16","Hebrews 10:11-14, (15-18), 19-25","Mark 13:1-8"
"proper29","Almighty and everlasting God, whose will it is to restore all things in your well-beloved Son, the King of kings and Lord of lords: Mercifully grant that the peoples of the earth, divided and enslaved by sin, may be freed and brought together under his most gracious rule; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lordsday","Reign of Christ - Proper 29 (34)","November 21, 2021","2 Samuel 23:1-7 and Psalm 132:1-12, (13-18)","Daniel 7:9-10, 13-14 and Psalm 93","Revelation 1:4b-8","John 18:33-37"
"thanksgiving","Almighty and gracious Father, we give you thanks for the fruits of the earth in their season and for the labors of those who harvest them. Make us, we pray, faithful stewards of your great bounty, for the provision of our necessities and the relief of all who are in need, to the glory of your Name; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","trinity","Thanksgiving Day, USA","November 25, 2021","Joel 2:21-27 and Psalm 126",,"1 Timothy 2:1-7","Matthew 6:25-33"
"standrew","Almighty God, who gave such grace to your apostle Andrew that he readily obeyed the call of your Son Jesus Christ, and brought his brother with him: Give us, who are called by your Holy Word, grace to follow him without delay, and to bring those near to us into his gracious presence; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","apostles","Saint Andrew November 30",,,,,
"stthomas","Everliving God, who strengthened your apostle Thomas with firm and certain faith in your Son’s resurrection: Grant us so perfectly and without doubt to believe in Jesus Christ, our Lord and our God, that our faith may never be found wanting in your sight; through him who lives and reigns with you and the Holy Spirit, one God, now and for ever","apostles","Saint Thomas December 21",,,,,
"ststephen","We give you thanks, O Lord of glory, for the example of the first martyr Stephen, who looked up to heaven and prayed for his persecutors to your Son Jesus Christ, who stands at your right hand; where he lives and reigns with you and the Holy Spirit, one God, in glory everlasting.","incarnation","Saint Stephen December 26",,,,,
"stjohn","Shed upon your Church, O Lord, the brightness of your light, that we, being illumined by the teaching of your apostle and evangelist John, may so walk in the light of your truth, that at length we may attain to the fullness of eternal life; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","incarnation","Saint John December 27",,,,,
"holyinnocents","We remember today, O God, the slaughter of the holy innocents of Bethlehem by King Herod. Receive, we pray, into the arms of your mercy all innocent victims; and by your great might frustrate the designs of evil tyrants and establish your rule of justice, love, and peace; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, for ever and ever.","incarnation","The Holy Innocents December 28",,,,,
"confessionstpeter","Almighty Father, who inspired Simon Peter, first among the apostles, to confess Jesus as Messiah and Son of the living God: Keep your Church steadfast upon the rock of this faith, so that in unity and peace we may proclaim the one truth and follow the one Lord, our Savior Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","apostles","Confession of Saint Peter January 18",,,,,
"stmatthias","Almighty God, who in the place of Judas chose your faithful servant Matthias to be numbered among the Twelve: Grant that your Church, being delivered from false apostles, may always be guided and governed by faithful and true pastors; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","apostles","Saint Matthias February 24Saint",,,,,
"stjoseph","O God, who from the family of your servant David raised up Joseph to be the guardian of your incarnate Son and the spouse of his virgin mother: Give us grace to imitate his uprightness of life and his obedience to your commands; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany","Saint Joseph March 19",,,,,
"stmark","Almighty God, by the hand of Mark the evangelist you have given to your Church the Gospel of Jesus Christ the Son of God: We thank you for this witness, and pray that we may be firmly grounded in its truth; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","allsaints","Saint Mark April 25",,,,,
"stsphilipjames","Almighty God, who gave to your apostles Philip and James grace and strength to bear witness to the truth: Grant that we, being mindful of their victory of faith, may glorify in life and death the Name of our Lord Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","apostles","Saint Philip and Saint James May 1",,,,,
"stbarnabas","Grant, O God, that we may follow the example of your faithful servant Barnabas, who, seeking not his own renown but the well-being of your Church, gave generously of his life and substance for the relief of the poor and the spread of the Gospel; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","apostles","Saint Barnabas June 11",,,,,
"nativityjohnbaptist","Almighty God, by whose providence your servant John the Baptist was wonderfully born, and sent to prepare the way of your Son our Savior by preaching repentance: Make us so to follow his teaching and holy life, that we may truly repent according to his preaching; and, following his example, constantly speak the truth, boldly rebuke vice, and patiently suffer for the truth’s sake; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","advent","The Nativity of Saint John the Baptist June 24",,,,,
"stspeterpaul","Almighty God, whose blessed apostles Peter and Paul glorified you by their martyrdom: Grant that your Church, instructed by their teaching and example, and knit together in unity by your Spirit, may ever stand firm upon the one foundation, which is Jesus Christ our Lord; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","apostles","Saint Peter and Saint Paul June 29",,,,,
"independencday","Lord God Almighty, in whose Name the founders of this country won liberty for themselves and for us, and lit the torch of freedom for nations then unborn: Grant that we and all the people of this land may have grace to maintain our liberties in righteousness and peace; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","trinity","Independence Day July 4",,,,,
"stmarymagdalene","Almighty God, whose blessed Son restored Mary Magdalene to health of body and of mind, and called her to be a witness of his resurrection: Mercifully grant that by your grace we may be healed from all our infirmities and know you in the power of his unending life; who with you and the Holy Spirit lives and reigns, one God, now and for ever.","allsaints","Saint Mary Magdalene July 22",,,,,
"stjames","O gracious God, we remember before you today your servant and apostle James, first among the Twelve to suffer martyrdom for the Name of Jesus Christ; and we pray that you will pour out upon the leaders of your Church that spirit of self-denying service by which alone they may have true authority among your people; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","apostles","Saint James July 25",,,,,
"transfiguration","O God, who on the holy mount revealed to chosen witnesses your well-beloved Son, wonderfully transfigured, in raiment white and glistening: Mercifully grant that we, being delivered from the disquietude of this world, may by faith behold the King in his beauty; who with you, O Father, and you, O Holy Spirit, lives and reigns, one God, for ever and ever.","epiphany","The Transfiguration August 6",,,,,
"stmaryvirgin","O God, you have taken to yourself the blessed Virgin Mary, mother of your incarnate Son: Grant that we, who have been redeemed by his blood, may share with her the glory of your eternal kingdom; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","incarnation","Saint Mary the Virgin August 15",,,,,
"stbartholomew","Almighty and everlasting God, who gave to your apostle Bartholomew grace truly to believe and to preach your Word: Grant that your Church may love what he believed and preach what he taught; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","apostles","Saint Bartholomew August 24",,,,,
"stmatthew","We thank you, heavenly Father, for the witness of your apostle and evangelist Matthew to the Gospel of your Son our Savior; and we pray that, after his example, we may with ready wills and hearts obey the calling of our Lord to follow him; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","apostles","Saint Matthew September 21",,,,,
"stmichaelallangels","Everlasting God, you have ordained and constituted in a wonderful order the ministries of angels and mortals: Mercifully grant that, as your holy angels always serve and worship you in heaven, so by your appointment they may help and defend us here on earth; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","trinity","Saint Michael and All Angels September 29",,,,,
"stluke","Almighty God, who inspired your servant Luke the physician to set forth in the Gospel the love and healing power of your Son: Graciously continue in your Church this love and power to heal, to the praise and glory of your Name; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","allsaints","Saint Luke October 18",,,,,
"stjamesjerusalem","Grant, O God, that, following the example of your servant James the Just, brother of our Lord, your Church may give itself continually to prayer and to the reconciliation of all who are at variance and enmity; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","allsaints","Saint James of Jerusalem October 23",,,,,
"stssimonjude","O God, we thank you for the glorious company of the apostles, and especially on this day for Simon and Jude; and we pray that, as they were faithful and zealous in their mission, so we may with ardent devotion make known the love and mercy of our Lord and Savior Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","apostles","Saint Simon and Saint Jude October 28",,,,,
"conversionstpaul","O God, by the preaching of your apostle Paul you have caused the light of the Gospel to shine throughout the world: Grant, we pray, that we, having his wonderful conversion in remembrance, may show ourselves thankful to you by following his holy teaching; through Jesus Christ our Lord, who lives
and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","apostles","Conversion of Saint Paul January 25",,,,,
